,Facility,Project,ModDate
486,19100200,191002-00,2020-11-19 12:00:28.107
487,19100200,201120-20,2020-08-13 12:25:27.623
488,19100200,201120-20,2020-09-25 12:42:43.000
489,19112000,191120-00,2019-03-12 08:13:09.000
490,19112000,191120-00,2020-08-12 14:47:57.160
491,19113202,191132-02,2020-06-07 21:34:53.563
492,19113202,191132-02,2020-06-07 21:34:53.563
493,19113235,191132-35,2020-04-28 17:42:20.000
494,19113235,191132-35,2020-04-28 17:42:20.000
495,19120000,191200-00,2020-11-18 06:37:35.030
496,19120000,191200-00,2020-11-19 12:13:51.900
497,19120001,191200-01,2020-11-18 06:37:34.910
498,19120001,191200-01,2020-11-19 12:13:52.963
499,19120002,191200-02,2020-11-18 06:37:34.937
500,19120002,191200-02,2020-11-19 12:13:54.037
501,19120003,191200-03,2020-11-18 06:37:35.040
502,19120003,191200-03,2020-11-19 12:13:55.100
503,19120004,191200-04,2020-11-18 06:37:35.050
504,19120004,191200-04,2020-11-19 12:13:56.160
505,19120005,191200-05,2020-11-18 06:37:35.067
506,19120005,191200-05,2020-11-19 12:13:57.230
507,19120006,191200-06,2020-11-18 06:37:35.177
508,19120006,191200-06,2020-11-19 12:13:58.293
509,19120007,191200-07,2020-11-18 06:37:35.213
510,19120007,191200-07,2020-11-19 12:13:59.353
511,19120008,191200-08,2020-11-18 06:37:35.220
512,19120008,191200-08,2020-11-19 12:14:00.410
513,19120009,191200-09,2020-11-18 06:37:35.327
514,19120009,191200-09,2020-11-19 12:14:01.487
515,19120010,191200-10,2020-11-18 06:37:35.360
516,19120010,191200-10,2020-11-19 12:14:02.563
517,19120011,191200-11,2020-11-18 06:37:35.243
518,19120011,191200-11,2020-11-19 12:14:03.630
519,19120012,191200-12,2020-11-18 06:37:35.363
520,19120012,191200-12,2020-11-19 12:14:04.683
521,19120013,191200-13,2020-11-18 06:37:35.383
522,19120013,191200-13,2020-11-19 12:14:05.747
523,19120014,191200-14,2020-11-18 06:37:35.477
524,19120014,191200-14,2020-11-19 12:14:06.810
525,19120015,191200-15,2020-11-18 06:37:35.480
526,19120015,191200-15,2020-11-19 12:14:07.887
527,19120016,191200-16,2020-11-18 06:37:35.503
528,19120016,191200-16,2020-11-19 12:24:49.763
529,19120017,191200-17,2020-11-18 06:37:35.520
530,19120017,191200-17,2020-11-19 12:24:50.817
531,19120018,191200-18,2020-11-18 06:37:35.630
532,19120018,191200-18,2020-11-19 12:24:51.890
533,19120019,191200-19,2020-11-18 06:37:35.657
534,19120019,191200-19,2020-11-19 12:24:52.953
